"x","y","AP1","AP2","AP3","AP4","AP5","AP6","AP7","AP8","AP9","AP10","AP11"
"532",3,5,-70,-62,-57,-48,-64,-67,-70,-63,-60,-53,-69
"533",3,3.4,-71,-59,-58,-48,-71,-65,-70,-58,-58,-56,-68
"534",3,1.7,-64,-63,-53,-53,-67,-66,-68,-57,-61,-53,-68
"537",3,1.8,-69,-57,-60,-63,-71,-76,-74,-63,-54,-42,-52
"538",3,3.2,-69,-54,-50,-63,-75,-67,-74,-57,-60,-48,-52
"539",3,5,-59,-58,-59,-62,-64,-66,-71,-54,-60,-45,-68
"540",3,5,-65,-61,-59,-46,-67,-72,-72,-56,-59,-49,-68
"555",3,1,-64,-50,-71,-62,-65,-77,-76,-61,-60,-45,-52
"556",3,1.9,-67,-62,-71,-63,-63,-78,-67,-56,-61,-45,-58
"557",3,3,-63,-67,-53,-61,-69,-65,-74,-54,-68,-56,-58
"558",3,4,-63,-62,-56,-54,-64,-68,-71,-57,-68,-51,-66
"559",3,5,-63,-66,-57,-58,-64,-69,-69,-51,-57,-58,-74
"560",3,5,-63,-63,-57,-54,-65,-67,-69,-58,-59,-60,-68
"567",3,0.8,-59,-51,-61,-59,-65,-75,-71,-61,-62,-47,-57
"568",3,1.8,-64,-56,-59,-59,-63,-75,-74,-56,-62,-42,-57
"569",3,2.9,-69,-66,-52,-62,-62,-66,-70,-52,-62,-44,-65
"570",3,3.9,-64,-56,-54,-60,-69,-68,-70,-51,-56,-52,-64
"571",3,5,-65,-68,-56,-58,-66,-71,-69,-52,-56,-50,-66
"572",3,5,-66,-63,-58,-46,-63,-69,-70,-57,-60,-59,-68
"593",3,0.7,-68,-50,-62,-61,-64,-69,-69,-65,-57,-42,-57
"594",3,1.4,-68,-55,-59,-62,-60,-70,-71,-59,-58,-45,-61
"595",3,2.1,-60,-63,-57,-63,-64,-64,-66,-51,-66,-51,-65
"596",3,2.9,-67,-56,-61,-59,-62,-62,-77,-56,-63,-55,-65
"597",3,3.6,-67,-64,-58,-59,-63,-66,-61,-53,-61,-55,-74
"598",3,4.3,-82,-70,-60,-52,-62,-65,-63,-54,-60,-59,-78
"599",3,5,-80,-69,-62,-51,-62,-64,-61,-52,-51,-62,-72
"600",3,5,-80,-60,-58,-48,-67,-69,-75,-66,-51,-52,-72
"601",3,4.3,-79,-60,-56,-54,-68,-81,-66,-58,-57,-59,-72
"602",3,3.6,-68,-58,-44,-53,-70,-77,-65,-59,-57,-51,-72
"603",3,2.9,-63,-59,-51,-57,-70,-77,-78,-59,-57,-50,-65
"604",3,2.2,-63,-59,-52,-63,-71,-76,-74,-57,-59,-51,-59
"605",3,1.5,-66,-62,-54,-62,-72,-71,-73,-63,-63,-51,-58
"606",3,0.7,-59,-47,-51,-68,-71,-81,-74,-64,-62,-50,-60
"628",3,2.4,-63,-65,-58,-63,-61,-77,-75,-60,-61,-53,-70
