"x","y","AP1","AP2","AP3","AP4","AP5","AP6","AP7","AP8","AP9","AP10","AP11"
"1",0,0,-60,-61,-66,-75,-78,-70,-60,-65,-46,-49,-56
"2",0,0,-61,-51,-63,-82,-68,-78,-77,-75,-60,-49,-59
"3",0,0,-61,-67,-69,-75,-77,-66,-77,-60,-46,-49,-55
"4",0,0,-56,-51,-55,-67,-67,-76,-76,-69,-63,-47,-58
"5",0,0,-57,-62,-64,-75,-67,-66,-64,-59,-51,-49,-55
"6",0,0,-56,-60,-61,-76,-69,-73,-79,-67,-63,-41,-69
"7",0,0,-56,-62,-61,-71,-74,-69,-61,-58,-63,-47,-54
"8",0,0,-62,-58,-62,-70,-79,-79,-79,-64,-59,-45,-65
"9",0,0,-60,-65,-62,-76,-73,-67,-63,-58,-49,-47,-65
"10",0,0,-50,-64,-67,-68,-72,-70,-77,-63,-61,-41,-65
"11",0,0,-50,-64,-69,-68,-73,-67,-67,-59,-61,-48,-55
"12",0,0,-54,-56,-70,-70,-81,-72,-67,-66,-55,-34,-69
"13",0,0,-61,-56,-60,-75,-81,-69,-67,-58,-55,-49,-53
"14",0,0,-58,-56,-61,-73,-68,-81,-67,-60,-62,-37,-63
"15",0,0,-54,-64,-64,-73,-72,-81,-68,-59,-49,-49,-55
"16",0,0,-51,-71,-61,-67,-68,-68,-70,-63,-60,-36,-65
"17",0,0,-58,-64,-67,-77,-73,-69,-65,-57,-60,-51,-56
"20",0,0,-46,-63,-66,-74,-69,-72,-71,-65,-56,-42,-61
"24",0,6,-62,-71,-68,-78,-72,-63,-56,-65,-52,-56,-74
"25",0,6,-62,-71,-72,-62,-58,-50,-45,-62,-37,-56,-73
"38",0,1.6,-60,-66,-71,-77,-72,-69,-54,-67,-52,-59,-63
"39",0,3,-63,-65,-76,-74,-72,-69,-52,-71,-51,-59,-63
"43",0,4.5,-72,-71,-72,-65,-62,-50,-46,-62,-39,-59,-72
"44",0,3,-72,-68,-70,-64,-59,-51,-45,-64,-44,-60,-72
"45",0,1.5,-64,-66,-70,-63,-59,-58,-42,-68,-36,-59,-72
"46",0,0,-64,-70,-74,-68,-67,-61,-48,-65,-38,-57,-67
"47",0,0,-62,-65,-74,-76,-74,-61,-53,-65,-56,-57,-67
"72",0,1,-61,-69,-70,-77,-72,-65,-59,-72,-52,-57,-62
"73",0,2,-66,-69,-74,-77,-71,-70,-54,-72,-48,-60,-62
"74",0,3,-72,-77,-74,-71,-69,-68,-50,-63,-53,-60,-62
"75",0,4,-69,-66,-76,-71,-68,-60,-48,-63,-41,-60,-71
"92",0,6,-70,-72,-71,-65,-67,-54,-46,-65,-17,-60,-73
"93",0,6,-64,-72,-72,-59,-66,-69,-49,-65,-37,-60,-71
"94",0,5.1,-63,-77,-72,-65,-57,-44,-47,-61,-38,-61,-71
"95",0,4.3,-63,-66,-72,-62,-65,-57,-47,-66,-37,-56,-73
"96",0,3.4,-70,-65,-67,-65,-65,-60,-45,-66,-36,-62,-73
"97",0,2.6,-65,-68,-79,-63,-60,-65,-43,-72,-36,-56,-64
"98",0,1.7,-67,-69,-78,-68,-61,-63,-37,-59,-53,-60,-73
"99",0,0.9,-75,-70,-78,-70,-65,-72,-44,-60,-53,-57,-64
