timeString	f0:f7:55:d8:c8:90	f0:f7:55:d8:ac:38	f0:f7:55:d8:d4:b8	f0:f7:55:d8:7c:20	f0:f7:55:d8:c9:50	f0:f7:55:d8:e7:50	f0:f7:55:d8:e7:e8	f0:f7:55:d8:72:30	f0:f7:55:d8:ec:80	d8:c7:c8:26:bc:70	d8:c7:c8:26:bd:b0	d8:c7:c8:27:98:00	
1432450524470	-75	-56	-41	-66	-67	-75	-80	-76	-92	-49	-57	-69	
1432450525995	-80	-58	-43	-71	-70	-75	-87	-76	-88	-47	-60	-120	
1432450527524	-81	-59	-44	-68	-70	-73	-87	-83	-86	-47	-60	-120	
1432450528952	-81	-59	-44	-72	-71	-73	-87	-83	-87	-48	-58	-71	
1432450530478	-79	-58	-45	-75	-71	-74	-87	-83	-88	-48	-59	-71	
1432450532013	-79	-58	-44	-70	-72	-73	-120	-120	-88	-47	-60	-71	
1432450533540	-80	-58	-45	-72	-71	-74	-120	-120	-87	-48	-59	-73	
1432450534968	-79	-58	-45	-73	-71	-76	-120	-120	-87	-47	-59	-73	
1432450536486	-79	-58	-45	-73	-73	-75	-120	-120	-87	-47	-59	-73	
1432450538015	-88	-58	-46	-70	-74	-74	-120	-120	-88	-48	-60	-73	
1432450539442	-88	-58	-47	-70	-70	-75	-85	-84	-91	-48	-59	-120	
1432450540964	-82	-60	-45	-73	-68	-74	-85	-84	-91	-49	-58	-120	
1432450542587	-79	-59	-43	-70	-68	-74	-85	-84	-88	-49	-59	-120	
1432450544002	-79	-59	-43	-69	-68	-77	-85	-120	-88	-48	-59	-71	
1432450545530	-81	-58	-43	-68	-68	-75	-85	-79	-91	-48	-61	-72	
1432450547050	-81	-62	-43	-69	-73	-75	-85	-79	-91	-47	-61	-72	
1432450548484	-80	-62	-43	-69	-67	-76	-82	-79	-92	-49	-59	-72	
1432450550014	-80	-59	-44	-69	-67	-76	-82	-120	-91	-48	-59	-72	
1432450551538	-77	-58	-43	-68	-67	-79	-82	-120	-91	-48	-59	-72	
1432450552966	-80	-56	-43	-68	-68	-77	-81	-120	-91	-48	-60	-71	
1432450554494	-81	-59	-43	-68	-68	-76	-82	-120	-91	-48	-59	-69	
1432450556016	-81	-59	-43	-68	-73	-75	-82	-120	-92	-49	-59	-69	
1432450557541	-80	-59	-43	-68	-69	-76	-82	-75	-94	-47	-60	-69	
1432450558971	-81	-58	-43	-70	-67	-76	-83	-75	-91	-48	-60	-120	
1432450560500	-80	-59	-43	-69	-69	-77	-83	-75	-89	-48	-59	-120	
1432450562027	-80	-57	-44	-67	-69	-79	-84	-75	-87	-47	-59	-120	
