"x","y","AP1","AP2","AP3","AP4","AP5","AP6","AP7","AP8","AP9","AP10","AP11"
"177",1,1.5,-49,-64,-67,-71,-75,-67,-58,-60,-57,-49,-58
"178",1,3.5,-71,-62,-66,-78,-75,-64,-59,-58,-49,-49,-63
"182",1,2,-74,-80,-77,-60,-49,-59,-62,-59,-46,-58,-69
"185",1,1.5,-50,-70,-69,-66,-64,-63,-61,-69,-51,-46,-64
"186",1,3.1,-61,-65,-72,-72,-70,-63,-59,-63,-48,-46,-65
"187",1,4.5,-65,-65,-69,-71,-62,-60,-56,-58,-53,-55,-65
"190",1,4.8,-63,-62,-63,-60,-46,-63,-64,-59,-47,-63,-68
"191",1,3.2,-63,-62,-74,-57,-52,-59,-60,-49,-50,-56,-68
"192",1,1.6,-59,-72,-70,-60,-62,-59,-60,-60,-50,-53,-70
"195",1,1.5,-54,-63,-69,-69,-65,-60,-58,-61,-52,-52,-59
"196",1,3,-80,-60,-69,-68,-63,-61,-57,-62,-52,-51,-61
"197",1,4.5,-66,-69,-68,-74,-64,-60,-59,-60,-49,-58,-64
"200",1,5.1,-65,-66,-63,-60,-51,-61,-61,-62,-49,-58,-74
"201",1,3.8,-65,-73,-76,-60,-55,-60,-59,-57,-51,-58,-74
"202",1,2.6,-65,-65,-69,-60,-58,-67,-66,-55,-55,-58,-72
"203",1,1.3,-60,-65,-73,-60,-61,-67,-67,-54,-49,-58,-72
"206",1,1.3,-54,-63,-64,-71,-72,-70,-56,-64,-53,-55,-59
"207",1,2.6,-54,-64,-73,-66,-70,-61,-58,-61,-53,-52,-59
"208",1,3.8,-54,-71,-73,-73,-61,-64,-54,-63,-51,-60,-65
"209",1,4.8,-54,-71,-69,-75,-64,-63,-59,-65,-51,-57,-71
"215",1,1.2,-60,-64,-71,-61,-63,-67,-64,-56,-54,-57,-70
"225",1,5.2,-62,-67,-62,-63,-49,-61,-59,-56,-42,-58,-80
"226",1,4.1,-61,-70,-62,-58,-55,-60,-58,-57,-48,-56,-68
"227",1,3.1,-64,-77,-64,-60,-55,-60,-66,-55,-54,-56,-73
"228",1,2.1,-59,-64,-65,-58,-58,-60,-59,-54,-48,-56,-73
"229",1,1.1,-63,-72,-60,-59,-64,-67,-59,-54,-56,-56,-69
"232",1,0.7,-57,-60,-72,-67,-71,-61,-60,-59,-53,-51,-58
"233",1,1.6,-58,-57,-74,-68,-66,-67,-58,-56,-51,-50,-64
"234",1,2.5,-63,-60,-74,-74,-64,-64,-55,-65,-51,-51,-61
"235",1,3.4,-65,-64,-64,-70,-59,-58,-55,-63,-51,-50,-63
"236",1,4.2,-65,-69,-64,-65,-71,-58,-58,-62,-45,-50,-70
"237",1,5.1,-67,-67,-64,-73,-58,-58,-61,-59,-43,-57,-74
"240",1,5.2,-67,-67,-65,-63,-45,-58,-59,-60,-47,-52,-73
"241",1,4.4,-64,-67,-68,-58,-53,-56,-58,-61,-47,-52,-73
"242",1,3.4,-68,-67,-73,-61,-53,-61,-60,-53,-47,-53,-68
"243",1,2.6,-57,-69,-67,-62,-59,-65,-64,-49,-57,-53,-70
"244",1,1.7,-57,-71,-64,-60,-67,-65,-59,-55,-55,-55,-70
"245",1,0.8,-67,-59,-69,-61,-63,-67,-59,-58,-55,-50,-69
"248",1,0.9,-55,-66,-62,-71,-65,-68,-56,-61,-52,-49,-65
"249",1,1.7,-63,-67,-78,-72,-68,-61,-63,-58,-48,-54,-68
"250",1,2.6,-63,-67,-70,-72,-66,-59,-58,-59,-56,-60,-68
"251",1,3.4,-63,-71,-69,-68,-60,-60,-61,-62,-46,-58,-68
"252",1,4.3,-63,-68,-73,-68,-63,-62,-54,-56,-47,-60,-68
"253",1,5.2,-63,-66,-73,-65,-61,-65,-58,-58,-50,-60,-72
"260",1,1.7,-61,-69,-70,-60,-65,-65,-62,-53,-46,-55,-68
